Location,Plant,Zone,Aisle,Bin,Batch Number,Part Number,Part Description,Serial Number,Condition,Category,Owner,Criticality,Average Cost,Quantity,Unit of Measure (UoM)
YYC,Plant 2,B,3,A10,12731369,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 2,B,1,B2,12752842,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 2,B,2,A1,12852846,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 1,A,1,A1,13059579,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 3,C,1,B1,13797174,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 2,B,3,A3,14679376,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 2,B,1,A3,14788437,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 1,A,3,B1,15082026,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 1,A,2,A5,15109044,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 3,C,2,B1,15635598,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 3,C,1,B3,15897056,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 3,C,4,A1,16355056,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 3,C,2,B1,16981299,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 1,A,1,A6,17150266,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 2,B,1,A4,17620596,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 1,A,4,B2,18464065,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 2,B,3,B1,18566847,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 2,B,2,A2,18826883,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 2,B,2,B1,19306900,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 2,B,3,B3,19604496,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 3,C,2,A1,20286377,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 2,B,2,B2,20600380,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 3,C,2,B3,20945558,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 3,C,2,A3,21028916,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 1,A,1,A2,21466444,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 3,C,3,B3,22240867,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 3,C,2,B3,22409819,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 3,C,1,B2,22699828,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 1,A,4,A2,22844935,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 1,A,1,B1,23127301,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 2,B,1,B1,23420640,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 2,B,1,B2,23682108,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 2,B,1,B2,24641671,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 1,A,2,B2,24775786,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 3,C,3,B2,24839412,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 1,A,1,A2,25209128,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 1,A,1,B3,25221775,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 1,A,2,B1,25689331,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 3,C,2,B3,25765716,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 3,C,2,B3,25772473,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 3,C,1,B3,27720139,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 2,B,1,A4,28256908,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 1,A,4,A3,28317076,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 1,A,2,A3,28409156,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 3,C,3,A4,28704258,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 1,A,2,B3,28917540,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 3,C,2,B1,29338822,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 1,A,2,B3,29668168,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 2,B,1,A2,29886733,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 1,A,4,A3,30476313,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 2,B,1,B3,30814576,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 1,A,2,A6,31614149,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 1,A,4,B3,31724064,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 1,A,3,A4,31839559,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 1,A,3,A1,31945401,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 3,C,2,A1,32021782,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 2,B,1,A1,32057754,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 3,C,1,A5,32387353,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 2,B,2,B1,32401545,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 3,C,1,A5,32735146,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 3,C,2,B2,33085964,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 2,B,1,B3,33480328,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 2,B,1,B3,33688602,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 3,C,2,A2,35060005,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 3,C,4,B3,35188358,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 2,B,4,B2,35846748,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 1,A,2,B1,36678225,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 1,A,1,A7,36700899,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 1,A,3,A2,36728249,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 3,C,1,A4,37433377,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 3,C,1,B1,37672529,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 1,A,1,B2,37851090,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 2,B,2,A3,37955061,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 3,C,2,A4,38196507,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 3,C,1,B3,38325224,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 2,B,2,B3,38429868,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 2,B,2,B2,38680824,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 2,B,4,A2,39054067,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 3,C,1,B3,39449685,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 3,C,4,A4,39699178,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 3,C,2,A4,39922901,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 3,C,1,B1,40097493,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 1,A,4,A6,40249966,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 1,A,1,B3,41211474,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 1,A,3,B2,41389757,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 2,B,4,B1,41762909,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 3,C,2,B3,41767108,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 3,C,2,B2,42682869,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 1,A,2,B2,42929960,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 2,B,1,B3,42991208,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 1,A,1,A4,43065813,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 1,A,4,B1,43316268,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 3,C,1,B3,43423110,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 1,A,2,A3,43585709,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 2,B,3,B2,43640328,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 3,C,2,B1,43695848,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 1,A,1,B3,43748218,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 1,A,1,A6,44110197,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 2,B,4,B1,44170618,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 3,C,1,B1,44974503,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 2,B,4,B3,44980673,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 2,B,3,A2,45300117,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 1,A,3,A1,45464364,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 1,A,1,B1,45933696,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 3,C,1,B3,45994125,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 2,B,1,A8,46276531,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 3,C,3,B3,46640667,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 2,B,2,A4,46667200,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 3,C,1,A5,47388478,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 2,B,2,B2,47499671,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 3,C,1,B1,47837941,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 1,A,4,B2,47905616,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 2,B,2,B2,48522452,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 2,B,2,A2,48531410,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 1,A,3,A2,48793141,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 3,C,4,A4,49030809,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 2,B,1,B1,49588054,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 2,B,2,B2,49619285,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 2,B,2,A4,49903330,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 3,C,3,B1,49915451,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 3,C,4,B1,49966257,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 1,A,1,B2,50308662,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 2,B,3,A3,50535021,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 2,B,1,B1,50642263,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 2,B,4,B3,50877442,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 3,C,2,B2,50970763,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 2,B,4,A2,51212439,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 2,B,1,A2,51394501,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 3,C,3,A5,51932828,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 1,A,2,B3,52270710,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 3,C,3,A1,52504443,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 1,A,3,A1,53364201,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 1,A,2,B1,53539947,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 1,A,3,B1,53659672,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 2,B,1,B1,53673513,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 1,A,2,B2,54449280,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 1,A,3,B3,54574119,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 1,A,1,A1,54593897,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 2,B,2,B3,54687465,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 1,A,1,A3,54909419,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 2,B,1,B2,54914176,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 1,A,1,A6,54958790,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 3,C,3,B1,55761496,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 2,B,4,B1,56317217,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 1,A,2,B3,56627031,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 1,A,3,B1,56857765,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 3,C,2,B1,57104529,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 1,A,1,B3,57447772,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 1,A,1,B2,58435551,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 3,C,1,B2,58561848,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 1,A,1,A3,58810141,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYC,Plant 3,C,3,B3,59045635,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 1,A,2,A1,60300979,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 1,A,1,A3,60860101,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 3,C,1,A2,60947303,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 3,C,4,A5,61196419,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
